"owner_id","registered_carslicense_plate"
1,"ZXY1274"
4,"ZAP7398"
10,"ZTX9534"
3,"ZXN4585"
2,"ZYE1564"
9,"IYX1897"
5,"ITT7255"
11,"IKP3196"
6,"IEA3797"
3,"IBN7239"
13,"IZT9712"
8,"IKB2184"
12,"IMN9279"
1,"ZBN1974"
7,"ZIT5295"
6,"ITT7255"
5,"IEA3797"
13,"IMN9279"
12,"IZT9712"
71,"ZXE6396"
96,"IOO8896"
91,"ZIP2513"
100,"IEK2933"
59,"ZYM4945"
91,"ZOT9399"
87,"IYI7188"
97,"INX7759"
80,"IBN1216"
55,"IHA5721"
83,"INM2554"
33,"IHO9592"
83,"ZBN8963"
53,"IYE6331"
84,"ZXP5492"
68,"ZTK3647"
28,"ZNM4272"
94,"ZMH4368"
78,"ZKO9198"
19,"IET8695"
79,"ZXZ5659"
78,"ZPN3781"
28,"IBK8636"
61,"ZMA6229"
22,"ZPP5665"
19,"IOK6523"
74,"IOX7652"
15,"ZKB5316"
65,"ZME5154"
29,"ITK8995"
76,"III9582"
85,"ZIM4642"
61,"ZHN8664"
93,"ZHT3445"
72,"IEZ6922"
32,"ZTE2784"
93,"ZAH5167"
14,"IHI2499"
34,"IAH3712"
48,"ZKH3738"
21,"IPA3793"
76,"ZMY1345"
92,"IIT6735"
26,"ZPH8993"
93,"ZTO1645"
33,"IXX9849"
100,"ZIY8333"
74,"ZEH3972"
51,"IMA8414"
47,"ZMZ6125"
15,"IEO4912"
43,"IPA4613"
84,"IXK4217"
27,"ZZN1567"
82,"IBK6254"
17,"ZYM4945"
18,"ZOT9399"
20,"IYI7188"
23,"INX7759"
24,"IBN1216"
35,"IHA5721"
36,"INM2554"
37,"IHO9592"
38,"ZBN8963"
39,"IYE6331"
40,"ZXP5492"
42,"ZTK3647"
44,"ZNM4272"
45,"ZMH4368"
49,"ZKO9198"
50,"IET8695"
54,"ZXZ5659"
57,"ZPN3781"
58,"IBK8636"
60,"ZMA6229"
62,"ZPP5665"
63,"IOK6523"
64,"IOX7652"
66,"ZKB5316"
69,"ZME5154"
73,"ITK8995"
75,"III9582"
86,"ZIM4642"
88,"ZHN8664"
89,"ZHT3445"
90,"IEZ6922"
95,"ZTE2784"
98,"ZAH5167"
99,"IHI2499"
