"driven_byowner_id","driven_byregistered_carslicense_plate","charging_pointspoint_id","charging_pointscharging_stationsstation_id","connectionTime","disconnectTime","kWhDelivered","protocol","payment","cost","vehicle_type","rating"
3,"ZXN4585",6,2,2018-06-08 06:18:22,2018-06-08 10:48:22,90,"normal(20kW)","card",11.20,bev,4
28,"ZNM4272",17,5,2018-08-08 03:36:51,2018-08-08 05:11:51,79.20,"fast(50kW)","card",12.02,bev,2
94,"ZMH4368",9,3,2018-03-25 23:06:11,2018-03-26 00:18:11,60.55,"fast(50kW)","card",9.21,bev,2
74,"IOX7652",18,5,2018-12-04 02:33:33,2018-12-04 03:23:33,41.85,"fast(50kW)","card",6.10,bev,1
13,"IMN9279",1,1,2018-11-22 21:19:23,2018-11-22 22:31:23,60.55,"fast(50kW)","card",9.08,bev,NULL
92,"IIT6735",18,5,2018-03-14 00:46:40,2018-03-14 04:57:40,84.00,"normal(20kW)","card",10.21,bev,NULL
48,"ZKH3738",18,5,2018-03-03 10:50:06,2018-03-03 13:09:06,46.40,"normal(20kW)","card",5.64,bev,NULL
84,"ZXP5492",2,1,2018-01-22 12:20:46,2018-01-22 13:55:46,79.20,"fast(50kW)","card",11.55,bev,5
26,"ZPH8993",4,1,2018-06-25 14:42:09,2018-06-25 16:47:09,42.00,"normal(20kW)","card",5.38,bev,NULL
49,"ZKO9198",9,3,2018-01-11 09:26:53,2018-01-11 10:21:53,46.00,"fast(50kW)","card",6.99,bev,4
13,"IMN9279",10,3,2018-06-12 09:12:46,2018-06-12 12:39:46,69.20,"normal(20kW)","card",8.65,bev,NULL
61,"ZHN8664",6,2,2018-04-13 23:52:50,2018-04-14 01:32:50,83.70,"fast(50kW)","card",12.49,bev,NULL
62,"ZPP5665",19,5,2018-04-29 07:57:37,2018-04-29 12:05:37,82.80,"normal(20kW)","card",10.71,bev,1
63,"IOK6523",14,4,2018-06-20 14:46:26,2018-06-20 15:56:26,58.59,"fast(50kW)","card",9.10,bev,NULL
76,"III9582",2,1,2018-07-13 10:59:24,2018-07-13 15:34:24,92.00,"normal(20kW)","card",11.18,bev,2
5,"IEA3797",9,3,2018-08-23 14:40:36,2018-08-23 17:35:36,58.59,"normal(20kW)","card",7.42,bev,NULL
28,"ZNM4272",9,3,2018-02-23 05:19:18,2018-02-23 08:52:18,71.28,"normal(20kW)","card",9.03,bev,5
4,"ZAP7398",10,3,2018-01-09 23:21:30,2018-01-10 01:26:30,42.00,"normal(20kW)","card",5.25,bev,4
33,"IXX9849",16,4,2018-09-11 07:56:58,2018-09-11 09:16:58,66.96,"fast(50kW)","card",10.04,bev,NULL
83,"INM2554",14,4,2018-02-28 03:25:33,2018-02-28 08:25:33,100.00,"normal(20kW)","card",12.94,bev,NULL
51,"IMA8414",8,2,2018-09-29 18:18:00,2018-09-29 21:12:00,58.00,"normal(20kW)","card",7.20,bev,2
34,"IAH3712",1,1,2018-01-01 10:52:38,2018-01-01 11:54:38,51.90,"fast(50kW)","card",7.79,bev,5
4,"ZAP7398",2,1,2018-05-11 02:54:32,2018-05-11 04:09:32,63.00,"fast(50kW)","card",9.19,bev,5
76,"ZMY1345",8,2,2018-02-24 12:36:41,2018-02-24 14:16:41,84.00,"fast(50kW)","card",12.51,bev,2
14,"IHI2499",20,5,2018-05-24 11:32:20,2018-05-24 12:19:20,39.60,"fast(50kW)","card",6.02,bev,NULL
91,"ZIP2513",20,5,2018-10-25 15:43:22,2018-10-25 16:30:22,39.60,"fast(50kW)","card",6.02,bev,2
